id,category,type,question
Q01,宿泊,単一,別府で泊まる宿を1つだけおすすめするならどこ?理由も教えて
Q02,宿泊,リスト5,別府でおすすめの温泉宿を5つ挙げて
Q03,宿泊,リスト5,別府で露天風呂付き客室がある宿を5つ挙げて
Q04,宿泊,リスト5,別府でコスパ重視の人におすすめの宿を5つ、1泊の目安価格も添えて挙げて
Q05,宿泊,リスト3,別府で子連れ家族におすすめの宿を3つ挙げて
Q06,宿泊,リスト3,別府で一人旅に向いた温泉宿を3つ挙げて
Q07,宿泊,リスト5,別府駅から歩けるおすすめのホテルを5つ挙げて
Q08,宿泊,リスト3,別府の鉄輪温泉で泊まるならおすすめの宿を3つ挙げて
Q09,宿泊,比較,別府と由布院、泊まるならどっち?理由も教えて
Q10,グルメ,リスト5,別府でおすすめのランチを5つ挙げて
Q11,グルメ,リスト3,別府で本場のとり天が食べられる店を3つ挙げて
Q12,グルメ,リスト3,別府冷麺のおすすめ店を3つ挙げて
Q13,グルメ,リスト3,別府で地獄蒸し料理が体験できるおすすめを3つ挙げて
Q14,グルメ,リスト3,別府で海鮮がおいしい店を3つ挙げて
Q15,グルメ,リスト3,別府で地元の人が通う居酒屋を3つ挙げて
Q16,グルメ,リスト5,別府駅周辺で夜ごはんにおすすめの店を5つ挙げて
Q17,グルメ,リスト3,別府で朝食やモーニングがおいしい店を3つ挙げて
Q18,観光,リスト5,別府観光で絶対に行くべき場所を5つ挙げて
Q19,観光,比較,地獄めぐりは全部回るべき?おすすめだけ教えて
Q20,観光,リスト3,別府で雨の日でも楽しめるスポットを3つ挙げて
Q21,観光,統合,別府1泊2日のモデルコースを作って
Q22,出典,リスト5,別府のおすすめ宿を5つ、それぞれ参考にした情報源つきで挙げて
Q23,出典,リスト3,別府のグルメ情報で信頼できるサイトを3つ挙げて
Q24,出典,リスト3,別府旅行の計画に使うべき公式情報源を3つ挙げて
Q25,出典,リスト5,別府のおすすめ店を5つ、最新の情報で挙げて。いつ時点の情報かも示して
